DateKey,FullDate,Year,Quarter,Month,MonthName
19901017,1990-10-17,1990,4,10,October
19901109,1990-11-09,1990,4,11,November
19901120,1990-11-20,1990,4,11,November
19901205,1990-12-05,1990,4,12,December
19901221,1990-12-21,1990,4,12,December
19901224,1990-12-24,1990,4,12,December
19910118,1991-01-18,1991,1,1,January
19910201,1991-02-01,1991,1,2,February
19910301,1991-03-01,1991,1,3,March
19910322,1991-03-22,1991,1,3,March
19910517,1991-05-17,1991,2,5,May
19910523,1991-05-23,1991,2,5,May
19910608,1991-06-08,1991,2,6,June
19910613,1991-06-13,1991,2,6,June
19910614,1991-06-14,1991,2,6,June
19910628,1991-06-28,1991,2,6,June
19910701,1991-07-01,1991,3,7,July
19910712,1991-07-12,1991,3,7,July
19910719,1991-07-19,1991,3,7,July
19910802,1991-08-02,1991,3,8,August
19910810,1991-08-10,1991,3,8,August
19910818,1991-08-18,1991,3,8,August
19910823,1991-08-23,1991,3,8,August
19910905,1991-09-05,1991,3,9,September
19910909,1991-09-09,1991,3,9,September
19911017,1991-10-17,1991,4,10,October
19911023,1991-10-23,1991,4,10,October
19911115,1991-11-15,1991,4,11,November
19911122,1991-11-22,1991,4,11,November
19911127,1991-11-27,1991,4,11,November
19911205,1991-12-05,1991,4,12,December
19911211,1991-12-11,1991,4,12,December
19911220,1991-12-20,1991,4,12,December
19911225,1991-12-25,1991,4,12,December
19920207,1992-02-07,1992,1,2,February
19920214,1992-02-14,1992,1,2,February
19920221,1992-02-21,1992,1,2,February
19920228,1992-02-28,1992,1,2,February
19920305,1992-03-05,1992,1,3,March
19920313,1992-03-13,1992,1,3,March
19920501,1992-05-01,1992,2,5,May
19920515,1992-05-15,1992,2,5,May
19920522,1992-05-22,1992,2,5,May
19920604,1992-06-04,1992,2,6,June
19920619,1992-06-19,1992,2,6,June
19920630,1992-06-30,1992,2,6,June
19920701,1992-07-01,1992,3,7,July
19920730,1992-07-30,1992,3,7,July
19920807,1992-08-07,1992,3,8,August
19920821,1992-08-21,1992,3,8,August
19920902,1992-09-02,1992,3,9,September
19920904,1992-09-04,1992,3,9,September
19920915,1992-09-15,1992,3,9,September
19920925,1992-09-25,1992,3,9,September
19920930,1992-09-30,1992,3,9,September
19921001,1992-10-01,1992,4,10,October
19921009,1992-10-09,1992,4,10,October
19921113,1992-11-13,1992,4,11,November
19921118,1992-11-18,1992,4,11,November
19921119,1992-11-19,1992,4,11,November
19921125,1992-11-25,1992,4,11,November
19921210,1992-12-10,1992,4,12,December
19921211,1992-12-11,1992,4,12,December
19921225,1992-12-25,1992,4,12,December
19930115,1993-01-15,1993,1,1,January
19930127,1993-01-27,1993,1,1,January
19930204,1993-02-04,1993,1,2,February
19930205,1993-02-05,1993,1,2,February
19930211,1993-02-11,1993,1,2,February
19930317,1993-03-17,1993,1,3,March
19930402,1993-04-02,1993,2,4,April
19930417,1993-04-17,1993,2,4,April
19930501,1993-05-01,1993,2,5,May
19930507,1993-05-07,1993,2,5,May
19930514,1993-05-14,1993,2,5,May
19930519,1993-05-19,1993,2,5,May
19930526,1993-05-26,1993,2,5,May
19930528,1993-05-28,1993,2,5,May
19930604,1993-06-04,1993,2,6,June
19930609,1993-06-09,1993,2,6,June
19930611,1993-06-11,1993,2,6,June
19930618,1993-06-18,1993,2,6,June
19930630,1993-06-30,1993,2,6,June
19930716,1993-07-16,1993,3,7,July
19930723,1993-07-23,1993,3,7,July
19930806,1993-08-06,1993,3,8,August
19930813,1993-08-13,1993,3,8,August
19930827,1993-08-27,1993,3,8,August
19930909,1993-09-09,1993,3,9,September
19930913,1993-09-13,1993,3,9,September
19930917,1993-09-17,1993,3,9,September
19930923,1993-09-23,1993,3,9,September
19930924,1993-09-24,1993,3,9,September
19930930,1993-09-30,1993,3,9,September
19931001,1993-10-01,1993,4,10,October
19931008,1993-10-08,1993,4,10,October
19931105,1993-11-05,1993,4,11,November
19931124,1993-11-24,1993,4,11,November
19931129,1993-11-29,1993,4,11,November
19931216,1993-12-16,1993,4,12,December
19931217,1993-12-17,1993,4,12,December
19931222,1993-12-22,1993,4,12,December
19931225,1993-12-25,1993,4,12,December
19940203,1994-02-03,1994,1,2,February
19940204,1994-02-04,1994,1,2,February
19940218,1994-02-18,1994,1,2,February
19940225,1994-02-25,1994,1,2,February
19940309,1994-03-09,1994,1,3,March
19940311,1994-03-11,1994,1,3,March
19940318,1994-03-18,1994,1,3,March
19940413,1994-04-13,1994,2,4,April
19940422,1994-04-22,1994,2,4,April
19940429,1994-04-29,1994,2,4,April
19940506,1994-05-06,1994,2,5,May
19940511,1994-05-11,1994,2,5,May
19940513,1994-05-13,1994,2,5,May
19940524,1994-05-24,1994,2,5,May
19940526,1994-05-26,1994,2,5,May
19940603,1994-06-03,1994,2,6,June
19940609,1994-06-09,1994,2,6,June
19940617,1994-06-17,1994,2,6,June
19940623,1994-06-23,1994,2,6,June
19940624,1994-06-24,1994,2,6,June
19940701,1994-07-01,1994,3,7,July
19940706,1994-07-06,1994,3,7,July
19940714,1994-07-14,1994,3,7,July
19940720,1994-07-20,1994,3,7,July
19940729,1994-07-29,1994,3,7,July
19940803,1994-08-03,1994,3,8,August
19940902,1994-09-02,1994,3,9,September
19940904,1994-09-04,1994,3,9,September
19940909,1994-09-09,1994,3,9,September
19940912,1994-09-12,1994,3,9,September
19940913,1994-09-13,1994,3,9,September
19940915,1994-09-15,1994,3,9,September
19940923,1994-09-23,1994,3,9,September
19940924,1994-09-24,1994,3,9,September
19940927,1994-09-27,1994,3,9,September
19940930,1994-09-30,1994,3,9,September
19941001,1994-10-01,1994,4,10,October
19941007,1994-10-07,1994,4,10,October
19941008,1994-10-08,1994,4,10,October
19941013,1994-10-13,1994,4,10,October
19941014,1994-10-14,1994,4,10,October
19941110,1994-11-10,1994,4,11,November
19941111,1994-11-11,1994,4,11,November
19941117,1994-11-17,1994,4,11,November
19941123,1994-11-23,1994,4,11,November
19941129,1994-11-29,1994,4,11,November
19941209,1994-12-09,1994,4,12,December
19941216,1994-12-16,1994,4,12,December
19941219,1994-12-19,1994,4,12,December
19941221,1994-12-21,1994,4,12,December
19941222,1994-12-22,1994,4,12,December
19950113,1995-01-13,1995,1,1,January
19950127,1995-01-27,1995,1,1,January
19950130,1995-01-30,1995,1,1,January
19950203,1995-02-03,1995,1,2,February
19950209,1995-02-09,1995,1,2,February
19950310,1995-03-10,1995,1,3,March
19950331,1995-03-31,1995,1,3,March
19950407,1995-04-07,1995,2,4,April
19950413,1995-04-13,1995,2,4,April
19950421,1995-04-21,1995,2,4,April
19950426,1995-04-26,1995,2,4,April
19950512,1995-05-12,1995,2,5,May
19950519,1995-05-19,1995,2,5,May
19950520,1995-05-20,1995,2,5,May
19950524,1995-05-24,1995,2,5,May
19950526,1995-05-26,1995,2,5,May
19950528,1995-05-28,1995,2,5,May
19950531,1995-05-31,1995,2,5,May
19950609,1995-06-09,1995,2,6,June
19950614,1995-06-14,1995,2,6,June
19950616,1995-06-16,1995,2,6,June
19950630,1995-06-30,1995,2,6,June
19950707,1995-07-07,1995,3,7,July
19950713,1995-07-13,1995,3,7,July
19950714,1995-07-14,1995,3,7,July
19950718,1995-07-18,1995,3,7,July
19950719,1995-07-19,1995,3,7,July
